Sl.No,Constituency_Name,2021_Winning_Candidate,2021_Winning_Party,District 
1,Gummidipoondi,T. J. Govindrajan,DMK,Thiruvallur District
2,Ponneri (SC),Durai Chandrasekar,INC,Thiruvallur District
3,Tiruttani,S. Chandran,DMK,Thiruvallur District
4,Thiruvallur,V. G. Raajendran,DMK,Thiruvallur District
5,Poonamallee (SC),A. Krishnaswamy,DMK,Thiruvallur District
6,Avadi,S. M. Nasar,DMK,Thiruvallur District
7,Maduravoyal,K. Ganapathy,DMK,Chennai District
8,Ambattur,Joseph Samuel,DMK,Chennai District
9,Madavaram,S. Sudharsanam,DMK,Chennai District
10,Thiruvottiyur,K. P. Shankar,DMK,Chennai District
11,Dr. Radhakrishnan Nagar,J. John Ebenezer,DMK,Chennai District
12,Perambur,R. D. Sekar,DMK,Chennai District
13,Kolathur,M. K. Stalin,DMK,Chennai District
14,Villivakkam,A. Vetriazhagan,DMK,Chennai District
15,Thiru-Vi-Ka-Nagar (SC),P. Sivakumar,DMK,Chennai District
16,Egmore (SC),I. Paranthamen,DMK,Chennai District
17,Royapuram,Idream R. Murthy,DMK,Chennai District
18,Harbour,P. K. Sekar Babu,DMK,Chennai District
19,Chepauk-Thiruvallikeni,Udhayanidhi Stalin,DMK,Chennai District
20,Thousand Lights,Ezhilan Naganathan,DMK,Chennai District
21,Anna Nagar,M. K. Mohan,DMK,Chennai District
22,Virugampakkam,A. M. V. Prabhakara Raja,DMK,Chennai District
23,Saidapet,Ma.Subramanian,DMK,Chennai District
24,Thiyagaraya Nagar,J. Karunanithi,DMK,Chennai District
25,Mylapore,Dha. Velu,DMK,Chennai District
26,Velachery,Aassan Maulaana,INC,Chennai District
27,Shozhinganallur,S. Aravind Ramesh,DMK,Chennai District
28,Alandur,T. M. Anbarasan,DMK,Chennai District
29,Sriperumbudur (SC),K. Selvaperunthagai,INC,Kancheepuram District
30,Pallavaram,I. Karunanithi,DMK,Chengalpattu District
31,Tambaram,S. R. Raja,DMK,Chengalpattu District
32,Chengalpattu,M. Varalakshmi,DMK,Chengalpattu District
33,Thiruporur,S. S. Balaji,VCK,Chengalpattu District
34,Cheyyur (SC),M. Babu,VCK,Chengalpattu District
35,Maduranthakam (SC),Maragatham Kumaravel,ADMK,Chengalpattu District
36,Uthiramerur,K. Sundar,DMK,Kancheepuram District
37,Kancheepuram,C. V. M. P. Ezhilarasan,DMK,Kancheepuram District
38,Arakkonam (SC),S. Ravi,ADMK,Ranipet District
39,Sholingur,A. N. Munirathinam,INC,Ranipet District
40,Ranipet,R. Gandhi,DMK,Ranipet District
41,Arcot,J. L. Eswarappan,DMK,Ranipet District
42,Katpadi,Durai Murugan,DMK,Vellore District
43,Vellore,P. Karthikeyan,DMK,Vellore District
44,Anaikattu,A. P. Nandakumar,DMK,Vellore District
45,Kilvaithinankuppam (SC),M. Jaganmoorthy,ADMK,Vellore District
46,Gudiyattam (SC),V. Amulu,DMK,Vellore District
47,Vaniyambadi,G Sendhil Kumar,ADMK,Tirupathur District
48,Ambur,A. C. Vilwanathan,DMK,Tirupathur District
49,Jolarpet,K. Devaraji,DMK,Tirupathur District
50,Tirupattur(Vellore),A. Nallathambi,DMK,Tirupathur District
51,Uthangarai (SC),T. M. Tamilselvam,ADMK,Krishnagiri District
52,Bargur,D. Mathiazhagan,DMK,Krishnagiri District
53,Krishnagiri,K. Ashok Kumar,ADMK,Krishnagiri District
54,Veppanahalli,K. P. Munusamy,ADMK,Krishnagiri District
55,Hosur,Y. Prakaash,DMK,Krishnagiri District
56,Thalli,T. Ramachandran,CPI,Krishnagiri District
57,Palacode,K. P. Anbalagan,ADMK,Dharmapuri District
58,Pennagaram,G. K. Mani,PMK,Dharmapuri District
59,Dharmapuri,S. P. Venkateshwaran,PMK,Dharmapuri District
60,Pappireddippatti,A. Govindasamy,ADMK,Dharmapuri District
61,Harur (SC),V. Sampathkumar,ADMK,Dharmapuri District
62,Chengam (SC),M. P. Giri,DMK,Tiruvannamalai District
63,Tiruvannamalai,E. V. Velu,DMK,Tiruvannamalai District
64,Kilpennathur,K. Pitchandi,DMK,Tiruvannamalai District
65,Kalasapakkam,P. S. T. Saravanan,DMK,Tiruvannamalai District
66,Polur,S. S. Krishnamoorthy,ADMK,Tiruvannamalai District
67,Arani,Sevvoor S. Ramachandran,ADMK,Tiruvannamalai District
68,Cheyyar,O. Jothi,DMK,Tiruvannamalai District
69,Vandavasi (SC),S. Ambethkumar,DMK,Tiruvannamalai District
70,Gingee,K. S. Masthan,DMK,Villupuram District
71,Mailam,C. Sivakumar,PMK,Villupuram District
72,Tindivanam,P. Arjunan,ADMK,Villupuram District
73,Vanur (SC),M. Chakrapani,ADMK,Villupuram District
74,Villupuram,R. Lakshmanan,DMK,Villupuram District
75,Vikravandi,N. Pugazhenthi,DMK,Villupuram District
76,Tirukkoyilur,K. Ponmudy,DMK,Villupuram District
77,Ulundurpettai,A. J. Manikannan,DMK,Kallakurichi District
78,Rishivandiyam,K. Karthikeyan,DMK,Kallakurichi District
79,Sankarapuram,T. Udhayasuriyan,DMK,Kallakurichi District
80,Kallakurichi (SC),M. Senthilkumar,ADMK,Kallakurichi District
81,Gangavalli (SC),A. Nallathambi,ADMK,Salem District
82,Attur (SC),A. P. Jayasankaran,ADMK,Salem District
83,Yercaud (ST),G. Chitra,ADMK,Salem District
84,Omalur,R. Mani,ADMK,Salem District
85,Mettur,S. Sadhasivam,PMK,Salem District
86,Edappadi,Edappadi K. Palaniswami,ADMK,Salem District
87,Sankari,S. Sundararajan,ADMK,Salem District
88,Salem (West),Arul Ramadas,PMK,Salem District
89,Salem (North),R. Rajendran,DMK,Salem District
90,Salem (South),E. Balasubramanian,ADMK,Salem District
91,Veerapandi,M. Rajamuthu,ADMK,Salem District
92,Rasipuram (SC),M. Mathiventhan,DMK,Namakkal District
93,Senthamangalam (ST),K. Ponnusamy,DMK,Namakkal District
94,Namakkal,P. Ramalingam,DMK,Namakkal District
95,Paramathi-Velur,S. Sekar,ADMK,Namakkal District
96,Tiruchengode,E. R. Eswaran,KMDK,Namakkal District
97,Kumarapalayam,P. Thangamani,ADMK,Namakkal District
98,Erode (East),Thirumagan Evera,INC,Erode District
99,Erode (West),S. Muthusamy,DMK,Erode District
100,Modakkurichi,Dr. C.K. Saraswathi,BJP,Erode District
101,Dharapuram (SC),N. Kayalvizhi,DMK,Tiruppur District
102,Kangayam,M. P. Saminathan,DMK,Tiruppur District
103,Perundurai,S. Jayakumar,ADMK,Erode District
104,Bhavani,K. C. Karuppannan,ADMK,Erode District
105,Anthiyur,A. G. Venkatachalam,DMK,Erode District
106,Gobichettipalayam,K. A. Sengottaiyan,ADMK,Erode District
107,Bhavanisagar (SC),A. Bannari,ADMK,Erode District
108,Udhagamandalam,R. Ganesh,INC,Nilgiris District
109,Gudalur (SC),Pon. Jayaseelan,ADMK,Nilgiris District
110,Coonoor,K. Ramachandran,DMK,Nilgiris District
111,Mettupalayam,A. K. Selvaraj,ADMK,Coimbatore District
112,Avanashi (SC),P. Dhanapal,ADMK,Tiruppur District
113,Tiruppur (North),K. N. Vijayakumar,ADMK,Tiruppur District
114,Tiruppur (South),K. Selvaraj,DMK,Tiruppur District
115,Palladam,M. S. M. Anandan,ADMK,Tiruppur District
116,Sulur,V. P. Kandasamy,ADMK,Coimbatore District
117,Kavundampalayam,G. Arunkumar,ADMK,Coimbatore District
118,Coimbatore (North),Amman K. Arjunan,ADMK,Coimbatore District
119,Thondamuthur,S. P. Velumani,ADMK,Coimbatore District
120,Coimbatore (South),Vanathi Srinivasan,BJP,Coimbatore District
121,Singanallur,K. R. Jayaram,ADMK,Coimbatore District
122,Kinathukadavu,S. Damodaran,ADMK,Coimbatore District
123,Pollachi,Pollachi V. Jayaraman,ADMK,Coimbatore District
124,Valparai (SC),T. K. Amulkandasami,ADMK,Coimbatore District
125,Udumalaipettai,Udumalai K. Radhakrishnan,ADMK,Tiruppur District
126,Madathukulam,C. Mahendran,ADMK,Tiruppur District
127,Palani,I. P. Senthil Kumar,DMK,Dindigul District
128,Oddanchatram,R. Sakkarapani,DMK,Dindigul District
129,Athoor,I. Periyasamy,DMK,Dindigul District
130,Nilakottai (SC),S. Thenmozhi,ADMK,Dindigul District
131,Natham,Natham R. Viswanathan,ADMK,Dindigul District
132,Dindigul,Dindigul C. Sreenivaasan,ADMK,Dindigul District
133,Vedasandur,S. Gandhirajan,DMK,Dindigul District
134,Aravakurichi,R. Elango,DMK,Karur District
135,Karur,V. Senthilbalaji,DMK,Karur District
136,Krishnarayapuram (SC),K. Sivagama Sundari,DMK,Karur District
137,Kulithalai,R. Manickam,DMK,Karur District
138,Manapaarai,P. Abdul Samad,DMK,Tiruchirappalli District
139,Srirangam,M. Palaniyandi,DMK,Tiruchirappalli District
140,Tiruchirappalli (West),K. N. Nehru,DMK,Tiruchirappalli District
141,Tiruchirappalli (East),Inigo S. Irudayaraj,DMK,Tiruchirappalli District
142,Thiruverumbur,Anbil Mahesh,DMK,Tiruchirappalli District
143,Lalgudi,A. Soundara Pandian,DMK,Tiruchirappalli District
144,Manachanallur,S. Kathiravan,DMK,Tiruchirappalli District
145,Musiri,N. Thiyagarajan,DMK,Tiruchirappalli District
146,Thuraiyur (SC),S. Stalinkumar,DMK,Tiruchirappalli District
147,Perambalur (SC),M. Prabhakaran,DMK,Perambalur District
148,Kunnam,S. S. Sivasankar,DMK,Perambalur District
149,Ariyalur,K. Chinnappa,DMK,Ariyalur District
150,Jayankondam,Ka. So. Ka. Kannan,DMK,Ariyalur District
151,Tittakudi (SC),C. V. Ganesan,DMK,Cuddalore District
152,Vriddhachalam,R. Radhakrishnan,INC,Cuddalore District
153,Neyveli,Saba Rajendran,DMK,Cuddalore District
154,Panruti,T. Velmurugan,DMK,Cuddalore District
155,Cuddalore,G. Iyappan,DMK,Cuddalore District
156,Kurinjipadi,M. R. K. Panneerselvam,DMK,Cuddalore District
157,Bhuvanagiri,A. Arunmozhithevan,ADMK,Cuddalore District
158,Chidambaram,K. A. Pandian,ADMK,Cuddalore District
159,Kattumannarkoil (SC),Sinthanai Selvan,VCK,Cuddalore District
160,Sirkazhi (SC),M. Panneerselvam,DMK,Mayiladuthurai District
161,Mayiladuthurai,S. Rajakumar,INC,Mayiladuthurai District
162,Poompuhar,Nivedha M. Murugan,DMK,Mayiladuthurai District
163,Nagapattinam,Aloor Shanavas,VCK,Nagapattinam District
164,Kilvelur (SC),Nagai Maali (A) P. Mahalingam,CPI(M),Nagapattinam District
165,Vedaranyam,O. S. Manian,ADMK,Nagapattinam District
166,Thiruthuraipoondi (SC),K. Marimuthu,CPI,Tiruvarur District
167,Mannargudi,Dr. T. R. B. Rajaa,DMK,Tiruvarur District
168,Thiruvarur,K. Poondi Kalaivanan,DMK,Tiruvarur District
169,Nannilam,R. Kamaraj,ADMK,Tiruvarur District
170,Thiruvidaimarudur (SC),Govi. Chezhiyan,DMK,Thanjavur District
171,Kumbakonam,G. Anbalagan,DMK,Thanjavur District
172,Papanasam,Dr. M. H. Jawahirullah,DMK,Thanjavur District
173,Thiruvaiyaru,Durai Chandrasekaran,DMK,Thanjavur District
174,Thanjavur,T. K. G. Neelamegam,DMK,Thanjavur District
175,Orathanadu,R. Vaithilingam,ADMK,Thanjavur District
176,Pattukkottai,K. Annadurai,DMK,Thanjavur District
177,Peravurani,Peravurani N. Ashokkumar,DMK,Thanjavur District
178,Gandharvakottai (SC),M. Chinnadurai,CPI(M),Pudukottai District
179,Viralimalai,C. Vijayabaskar,ADMK,Pudukottai District
180,Pudukkottai,Dr. V. Muthuraja,DMK,Pudukottai District
181,Thirumayam,S. Regupathy,DMK,Pudukottai District
182,Alangudi,Meyyanathan Siva V,DMK,Pudukottai District
183,Aranthangi,T. Ramachandran,INC,Pudukottai District
184,Karaikudi,S. Mangudi,INC,Sivaganga District
185,Tiruppattur(Sivaganga),K. R. Periyakaruppan,DMK,Sivaganga District
186,Sivaganga,P. R. Senthilnathan,ADMK,Sivaganga District
187,Manamadurai (SC),A. Tamilarasi,DMK,Sivaganga District
188,Melur,P. Selvam,ADMK,Madurai District
189,Madurai East,P. Moorthy,DMK,Madurai District
190,Sholavandan (SC),A. Venkatesan,DMK,Madurai District
191,Madurai North,G. Thalapathi,DMK,Madurai District
192,Madurai South,M. Boominathan,DMK,Madurai District
193,Madurai Central,Palanivel Thiagarajan,DMK,Madurai District
194,Madurai West,Sellur K. Raju,ADMK,Madurai District
195,Thiruparankundram,V. V. Rajan Chellappa,ADMK,Madurai District
196,Tirumangalam,R. B. Udhaya Kumar,ADMK,Madurai District
197,Usilampatti,P. Ayyappan,ADMK,Madurai District
198,Andipatti,A. Maharajan,DMK,Theni District
199,Periyakulam (SC),K. S. Saravana Kumar,DMK,Theni District
200,Bodinayakanur,O. Panneerselvam,ADMK,Theni District
201,Cumbum,N. Eramakrishnan,DMK,Theni District
202,Rajapalayam,S. Thangappandian,DMK,Virudhunagar District
203,Srivilliputhur (SC),E. M. Manraj,ADMK,Virudhunagar District
204,Sattur,A. R. R. Raghuraman,DMK,Virudhunagar District
205,Sivakasi,A. M. S. G. Ashokan,INC,Virudhunagar District
206,Virudhunagar,A. R. R. Seenivasan,DMK,Virudhunagar District
207,Aruppukkottai,Sattur Ramachandran,DMK,Virudhunagar District
208,Tiruchuli,Thangam Thennarasu,DMK,Virudhunagar District
209,Paramakudi (SC),S. Murugesan,DMK,Ramanathapuram District
210,Tiruvadanai,R. M. Karumanikam,INC,Ramanathapuram District
211,Ramanathapuram,K. Muthuramalingam,DMK,Ramanathapuram District
212,Mudhukulathur,R. S. Raja Kannappan,DMK,Ramanathapuram District
213,Vilathikulam,G. V. Markandayan,DMK,Thoothukudi District
214,Thoothukkudi,P. Geetha Jeevan,DMK,Thoothukudi District
215,Tiruchendur,Anitha R. Radhakrishnan,DMK,Thoothukudi District
216,Srivaikuntam,Oorvasi S. Amirtharaj,INC,Thoothukudi District
217,Ottapidaram (SC),M. C. Shunmugaiah,DMK,Thoothukudi District
218,Kovilpatti,Kadambur C. Raju,ADMK,Thoothukudi District
219,Sankarankovil (SC),E. Raja,DMK,Tenkasi District
220,Vasudevanallur (SC),Dr. T. Sadhan Tirumalaikumar,DMK,Tenkasi District
221,Kadayanallur,C. Krishnamurali,ADMK,Tenkasi District
222,Tenkasi,S. Palani Nadar,INC,Tenkasi District
223,Alangulam,P. H. Manoj Pandian,ADMK,Tenkasi District
224,Tirunelveli,Nainar Nagendran,BJP,Tirunelveli District
225,Ambasamudram,E. Subaya,ADMK,Tirunelveli District
226,Palayamkottai,M. Abdul Wahab,DMK,Tirunelveli District
227,Nanguneri,Ruby R. Manoharan,INC,Tirunelveli District
228,Radhapuram,M. Appavu,DMK,Tirunelveli District
229,Kanniyakumari,N. Thalavai Sundaram,ADMK,Kanniyakumari District
230,Nagercoil,M. R. Gandhi,BJP,Kanniyakumari District
231,Colachel,J. G. Prince,INC,Kanniyakumari District
232,Padmanabhapuram,Mano Thangaraj,DMK,Kanniyakumari District
233,Vilavancode,S. Vijayadharani,INC,Kanniyakumari District
234,Killiyoor,S. Rajeshkumar,INC,Kanniyakumari District
